episode_id,path,split,task_name,sim_name,seed,steps,success,camera_queries,slip_events
0,data/raw/blind_retrieve/episode_00000.json,train,blind_retrieve,mujoco,42,48,True,5,1
1,data/raw/blind_retrieve/episode_00001.json,train,blind_retrieve,mujoco,43,48,True,5,3
2,data/raw/blind_retrieve/episode_00002.json,train,blind_retrieve,mujoco,44,48,True,7,3
3,data/raw/blind_retrieve/episode_00003.json,train,blind_retrieve,mujoco,45,48,True,5,0
4,data/raw/blind_retrieve/episode_00004.json,train,blind_retrieve,mujoco,46,48,True,5,1
5,data/raw/blind_retrieve/episode_00005.json,train,blind_retrieve,mujoco,47,48,True,5,0
6,data/raw/blind_retrieve/episode_00006.json,train,blind_retrieve,mujoco,48,48,True,6,4
7,data/raw/blind_retrieve/episode_00007.json,train,blind_retrieve,mujoco,49,48,True,6,1
8,data/raw/blind_retrieve/episode_00008.json,train,blind_retrieve,mujoco,50,48,True,6,3
9,data/raw/blind_retrieve/episode_00009.json,train,blind_retrieve,mujoco,51,48,True,7,2
10,data/raw/blind_retrieve/episode_00010.json,train,blind_retrieve,mujoco,52,48,True,6,3
11,data/raw/blind_retrieve/episode_00011.json,train,blind_retrieve,mujoco,53,48,True,6,2
12,data/raw/blind_retrieve/episode_00012.json,train,blind_retrieve,mujoco,54,48,True,5,2
13,data/raw/blind_retrieve/episode_00013.json,train,blind_retrieve,mujoco,55,48,True,5,1
14,data/raw/blind_retrieve/episode_00014.json,train,blind_retrieve,mujoco,56,48,True,6,3
15,data/raw/blind_retrieve/episode_00015.json,train,blind_retrieve,mujoco,57,48,True,5,0
16,data/raw/blind_retrieve/episode_00016.json,train,blind_retrieve,mujoco,58,48,True,6,2
17,data/raw/blind_retrieve/episode_00017.json,train,blind_retrieve,mujoco,59,48,True,6,1
18,data/raw/blind_retrieve/episode_00018.json,train,blind_retrieve,mujoco,60,48,True,6,2
19,data/raw/blind_retrieve/episode_00019.json,train,blind_retrieve,mujoco,61,48,True,5,1
20,data/raw/blind_retrieve/episode_00020.json,train,blind_retrieve,mujoco,62,48,True,5,0
21,data/raw/blind_retrieve/episode_00021.json,train,blind_retrieve,mujoco,63,48,True,6,2
22,data/raw/blind_retrieve/episode_00022.json,train,blind_retrieve,mujoco,64,48,True,6,2
23,data/raw/blind_retrieve/episode_00023.json,train,blind_retrieve,mujoco,65,48,True,6,1
24,data/raw/blind_retrieve/episode_00024.json,val,blind_retrieve,mujoco,66,48,True,5,1
25,data/raw/blind_retrieve/episode_00025.json,val,blind_retrieve,mujoco,67,48,True,6,2
26,data/raw/blind_retrieve/episode_00026.json,val,blind_retrieve,mujoco,68,48,True,5,1
27,data/raw/blind_retrieve/episode_00027.json,val,blind_retrieve,mujoco,69,48,True,5,1
28,data/raw/blind_retrieve/episode_00028.json,val,blind_retrieve,mujoco,70,48,True,5,0
29,data/raw/blind_retrieve/episode_00029.json,val,blind_retrieve,mujoco,71,48,True,5,2
