episode_id,path,split,task_name,sim_name,seed,steps,success,camera_queries,slip_events
0,data/raw/blind_retrieve_v2/episode_00000.json,train,blind_retrieve,mujoco,91,48,True,6,4
1,data/raw/blind_retrieve_v2/episode_00001.json,train,blind_retrieve,mujoco,92,48,True,6,1
2,data/raw/blind_retrieve_v2/episode_00002.json,train,blind_retrieve,mujoco,93,48,True,6,1
3,data/raw/blind_retrieve_v2/episode_00003.json,train,blind_retrieve,mujoco,94,48,True,5,3
4,data/raw/blind_retrieve_v2/episode_00004.json,train,blind_retrieve,mujoco,95,48,True,5,2
5,data/raw/blind_retrieve_v2/episode_00005.json,train,blind_retrieve,mujoco,96,48,True,5,2
6,data/raw/blind_retrieve_v2/episode_00006.json,train,blind_retrieve,mujoco,97,48,True,5,1
7,data/raw/blind_retrieve_v2/episode_00007.json,train,blind_retrieve,mujoco,98,48,True,6,1
8,data/raw/blind_retrieve_v2/episode_00008.json,train,blind_retrieve,mujoco,99,48,True,5,0
9,data/raw/blind_retrieve_v2/episode_00009.json,train,blind_retrieve,mujoco,100,48,True,6,2
10,data/raw/blind_retrieve_v2/episode_00010.json,train,blind_retrieve,mujoco,101,48,True,6,2
11,data/raw/blind_retrieve_v2/episode_00011.json,train,blind_retrieve,mujoco,102,48,True,6,2
12,data/raw/blind_retrieve_v2/episode_00012.json,train,blind_retrieve,mujoco,103,48,True,6,1
13,data/raw/blind_retrieve_v2/episode_00013.json,train,blind_retrieve,mujoco,104,48,True,6,1
14,data/raw/blind_retrieve_v2/episode_00014.json,train,blind_retrieve,mujoco,105,48,True,6,2
15,data/raw/blind_retrieve_v2/episode_00015.json,train,blind_retrieve,mujoco,106,48,True,5,1
16,data/raw/blind_retrieve_v2/episode_00016.json,train,blind_retrieve,mujoco,107,48,True,6,3
17,data/raw/blind_retrieve_v2/episode_00017.json,train,blind_retrieve,mujoco,108,48,True,5,2
18,data/raw/blind_retrieve_v2/episode_00018.json,train,blind_retrieve,mujoco,109,48,True,5,4
19,data/raw/blind_retrieve_v2/episode_00019.json,train,blind_retrieve,mujoco,110,48,True,6,2
20,data/raw/blind_retrieve_v2/episode_00020.json,train,blind_retrieve,mujoco,111,48,True,6,1
21,data/raw/blind_retrieve_v2/episode_00021.json,train,blind_retrieve,mujoco,112,48,True,6,2
22,data/raw/blind_retrieve_v2/episode_00022.json,train,blind_retrieve,mujoco,113,48,True,5,1
23,data/raw/blind_retrieve_v2/episode_00023.json,train,blind_retrieve,mujoco,114,48,True,5,0
24,data/raw/blind_retrieve_v2/episode_00024.json,val,blind_retrieve,mujoco,115,48,True,5,1
25,data/raw/blind_retrieve_v2/episode_00025.json,val,blind_retrieve,mujoco,116,48,True,5,2
26,data/raw/blind_retrieve_v2/episode_00026.json,val,blind_retrieve,mujoco,117,48,True,6,1
27,data/raw/blind_retrieve_v2/episode_00027.json,val,blind_retrieve,mujoco,118,48,True,6,2
28,data/raw/blind_retrieve_v2/episode_00028.json,val,blind_retrieve,mujoco,119,48,True,5,1
29,data/raw/blind_retrieve_v2/episode_00029.json,val,blind_retrieve,mujoco,120,48,True,5,0
