episode_id,path,split,task_name,sim_name,seed,steps,success,camera_queries,slip_events
0,data/raw/peg_in_hole/episode_00000.json,train,peg_in_hole,mujoco,42,48,True,5,1
1,data/raw/peg_in_hole/episode_00001.json,train,peg_in_hole,mujoco,43,48,True,5,3
2,data/raw/peg_in_hole/episode_00002.json,train,peg_in_hole,mujoco,44,48,True,7,3
3,data/raw/peg_in_hole/episode_00003.json,train,peg_in_hole,mujoco,45,48,True,5,0
4,data/raw/peg_in_hole/episode_00004.json,train,peg_in_hole,mujoco,46,48,True,5,1
5,data/raw/peg_in_hole/episode_00005.json,train,peg_in_hole,mujoco,47,48,True,5,0
6,data/raw/peg_in_hole/episode_00006.json,train,peg_in_hole,mujoco,48,48,True,6,4
7,data/raw/peg_in_hole/episode_00007.json,train,peg_in_hole,mujoco,49,48,True,6,1
8,data/raw/peg_in_hole/episode_00008.json,train,peg_in_hole,mujoco,50,48,True,6,3
9,data/raw/peg_in_hole/episode_00009.json,train,peg_in_hole,mujoco,51,48,True,7,2
10,data/raw/peg_in_hole/episode_00010.json,train,peg_in_hole,mujoco,52,48,True,6,3
11,data/raw/peg_in_hole/episode_00011.json,train,peg_in_hole,mujoco,53,48,True,6,2
12,data/raw/peg_in_hole/episode_00012.json,train,peg_in_hole,mujoco,54,48,True,5,2
13,data/raw/peg_in_hole/episode_00013.json,train,peg_in_hole,mujoco,55,48,True,5,1
14,data/raw/peg_in_hole/episode_00014.json,train,peg_in_hole,mujoco,56,48,True,6,3
15,data/raw/peg_in_hole/episode_00015.json,train,peg_in_hole,mujoco,57,48,True,5,0
16,data/raw/peg_in_hole/episode_00016.json,train,peg_in_hole,mujoco,58,48,True,6,2
17,data/raw/peg_in_hole/episode_00017.json,train,peg_in_hole,mujoco,59,48,True,6,1
18,data/raw/peg_in_hole/episode_00018.json,train,peg_in_hole,mujoco,60,48,True,6,2
19,data/raw/peg_in_hole/episode_00019.json,train,peg_in_hole,mujoco,61,48,True,5,1
20,data/raw/peg_in_hole/episode_00020.json,train,peg_in_hole,mujoco,62,48,True,5,0
21,data/raw/peg_in_hole/episode_00021.json,train,peg_in_hole,mujoco,63,48,True,6,2
22,data/raw/peg_in_hole/episode_00022.json,train,peg_in_hole,mujoco,64,48,True,6,2
23,data/raw/peg_in_hole/episode_00023.json,train,peg_in_hole,mujoco,65,48,True,6,1
24,data/raw/peg_in_hole/episode_00024.json,val,peg_in_hole,mujoco,66,48,True,5,1
25,data/raw/peg_in_hole/episode_00025.json,val,peg_in_hole,mujoco,67,48,True,6,2
26,data/raw/peg_in_hole/episode_00026.json,val,peg_in_hole,mujoco,68,48,True,5,1
27,data/raw/peg_in_hole/episode_00027.json,val,peg_in_hole,mujoco,69,48,True,5,1
28,data/raw/peg_in_hole/episode_00028.json,val,peg_in_hole,mujoco,70,48,True,5,0
29,data/raw/peg_in_hole/episode_00029.json,val,peg_in_hole,mujoco,71,48,True,5,2
