episode_id,path,split,task_name,sim_name,seed,steps,success,camera_queries,slip_events
0,data/raw/peg_in_hole_v2/episode_00000.json,train,peg_in_hole,mujoco,17,48,True,6,3
1,data/raw/peg_in_hole_v2/episode_00001.json,train,peg_in_hole,mujoco,18,48,True,5,1
2,data/raw/peg_in_hole_v2/episode_00002.json,train,peg_in_hole,mujoco,19,48,True,6,2
3,data/raw/peg_in_hole_v2/episode_00003.json,train,peg_in_hole,mujoco,20,48,True,5,0
4,data/raw/peg_in_hole_v2/episode_00004.json,train,peg_in_hole,mujoco,21,48,True,6,1
5,data/raw/peg_in_hole_v2/episode_00005.json,train,peg_in_hole,mujoco,22,48,True,5,4
6,data/raw/peg_in_hole_v2/episode_00006.json,train,peg_in_hole,mujoco,23,48,True,6,2
7,data/raw/peg_in_hole_v2/episode_00007.json,train,peg_in_hole,mujoco,24,48,True,5,1
8,data/raw/peg_in_hole_v2/episode_00008.json,train,peg_in_hole,mujoco,25,48,True,6,1
9,data/raw/peg_in_hole_v2/episode_00009.json,train,peg_in_hole,mujoco,26,48,True,6,1
10,data/raw/peg_in_hole_v2/episode_00010.json,train,peg_in_hole,mujoco,27,48,True,5,1
11,data/raw/peg_in_hole_v2/episode_00011.json,train,peg_in_hole,mujoco,28,48,True,5,0
12,data/raw/peg_in_hole_v2/episode_00012.json,train,peg_in_hole,mujoco,29,48,True,6,3
13,data/raw/peg_in_hole_v2/episode_00013.json,train,peg_in_hole,mujoco,30,48,False,9,5
14,data/raw/peg_in_hole_v2/episode_00014.json,train,peg_in_hole,mujoco,31,48,True,6,1
15,data/raw/peg_in_hole_v2/episode_00015.json,train,peg_in_hole,mujoco,32,48,True,5,2
16,data/raw/peg_in_hole_v2/episode_00016.json,train,peg_in_hole,mujoco,33,48,True,6,1
17,data/raw/peg_in_hole_v2/episode_00017.json,train,peg_in_hole,mujoco,34,48,True,6,1
18,data/raw/peg_in_hole_v2/episode_00018.json,train,peg_in_hole,mujoco,35,48,True,6,3
19,data/raw/peg_in_hole_v2/episode_00019.json,train,peg_in_hole,mujoco,36,48,True,6,3
20,data/raw/peg_in_hole_v2/episode_00020.json,train,peg_in_hole,mujoco,37,48,True,6,2
21,data/raw/peg_in_hole_v2/episode_00021.json,train,peg_in_hole,mujoco,38,48,True,5,1
22,data/raw/peg_in_hole_v2/episode_00022.json,train,peg_in_hole,mujoco,39,48,True,6,2
23,data/raw/peg_in_hole_v2/episode_00023.json,train,peg_in_hole,mujoco,40,48,True,7,4
24,data/raw/peg_in_hole_v2/episode_00024.json,val,peg_in_hole,mujoco,41,48,True,6,1
25,data/raw/peg_in_hole_v2/episode_00025.json,val,peg_in_hole,mujoco,42,48,True,5,1
26,data/raw/peg_in_hole_v2/episode_00026.json,val,peg_in_hole,mujoco,43,48,True,5,3
27,data/raw/peg_in_hole_v2/episode_00027.json,val,peg_in_hole,mujoco,44,48,True,7,3
28,data/raw/peg_in_hole_v2/episode_00028.json,val,peg_in_hole,mujoco,45,48,True,5,0
29,data/raw/peg_in_hole_v2/episode_00029.json,val,peg_in_hole,mujoco,46,48,True,5,1
