episode_id,path,split,task_name,sim_name,seed,steps,success,camera_queries,slip_events
0,data/raw/tool_use/episode_00000.json,train,tool_use,mujoco,42,48,True,5,1
1,data/raw/tool_use/episode_00001.json,train,tool_use,mujoco,43,48,True,5,3
2,data/raw/tool_use/episode_00002.json,train,tool_use,mujoco,44,48,True,7,3
3,data/raw/tool_use/episode_00003.json,train,tool_use,mujoco,45,48,True,5,0
4,data/raw/tool_use/episode_00004.json,train,tool_use,mujoco,46,48,True,5,1
5,data/raw/tool_use/episode_00005.json,train,tool_use,mujoco,47,48,True,5,0
6,data/raw/tool_use/episode_00006.json,train,tool_use,mujoco,48,48,True,6,4
7,data/raw/tool_use/episode_00007.json,train,tool_use,mujoco,49,48,True,6,1
8,data/raw/tool_use/episode_00008.json,train,tool_use,mujoco,50,48,True,6,3
9,data/raw/tool_use/episode_00009.json,train,tool_use,mujoco,51,48,True,7,2
10,data/raw/tool_use/episode_00010.json,train,tool_use,mujoco,52,48,True,6,3
11,data/raw/tool_use/episode_00011.json,train,tool_use,mujoco,53,48,True,6,2
12,data/raw/tool_use/episode_00012.json,train,tool_use,mujoco,54,48,True,5,2
13,data/raw/tool_use/episode_00013.json,train,tool_use,mujoco,55,48,True,5,1
14,data/raw/tool_use/episode_00014.json,train,tool_use,mujoco,56,48,True,6,3
15,data/raw/tool_use/episode_00015.json,train,tool_use,mujoco,57,48,True,5,0
16,data/raw/tool_use/episode_00016.json,train,tool_use,mujoco,58,48,True,6,2
17,data/raw/tool_use/episode_00017.json,train,tool_use,mujoco,59,48,True,6,1
18,data/raw/tool_use/episode_00018.json,train,tool_use,mujoco,60,48,True,6,2
19,data/raw/tool_use/episode_00019.json,train,tool_use,mujoco,61,48,True,5,1
20,data/raw/tool_use/episode_00020.json,train,tool_use,mujoco,62,48,True,5,0
21,data/raw/tool_use/episode_00021.json,train,tool_use,mujoco,63,48,True,6,2
22,data/raw/tool_use/episode_00022.json,train,tool_use,mujoco,64,48,True,6,2
23,data/raw/tool_use/episode_00023.json,train,tool_use,mujoco,65,48,True,6,1
24,data/raw/tool_use/episode_00024.json,val,tool_use,mujoco,66,48,True,5,1
25,data/raw/tool_use/episode_00025.json,val,tool_use,mujoco,67,48,True,6,2
26,data/raw/tool_use/episode_00026.json,val,tool_use,mujoco,68,48,True,5,1
27,data/raw/tool_use/episode_00027.json,val,tool_use,mujoco,69,48,True,5,1
28,data/raw/tool_use/episode_00028.json,val,tool_use,mujoco,70,48,True,5,0
29,data/raw/tool_use/episode_00029.json,val,tool_use,mujoco,71,48,True,5,2
