episode_id,path,split,task_name,sim_name,seed,steps,success,camera_queries,slip_events
0,data/raw/tool_use_v2/episode_00000.json,train,tool_use,mujoco,233,48,False,5,5
1,data/raw/tool_use_v2/episode_00001.json,train,tool_use,mujoco,234,48,True,5,1
2,data/raw/tool_use_v2/episode_00002.json,train,tool_use,mujoco,235,48,True,6,3
3,data/raw/tool_use_v2/episode_00003.json,train,tool_use,mujoco,236,48,True,6,3
4,data/raw/tool_use_v2/episode_00004.json,train,tool_use,mujoco,237,48,True,5,0
5,data/raw/tool_use_v2/episode_00005.json,train,tool_use,mujoco,238,48,True,5,0
6,data/raw/tool_use_v2/episode_00006.json,train,tool_use,mujoco,239,48,True,7,2
7,data/raw/tool_use_v2/episode_00007.json,train,tool_use,mujoco,240,48,True,6,4
8,data/raw/tool_use_v2/episode_00008.json,train,tool_use,mujoco,241,48,True,5,1
9,data/raw/tool_use_v2/episode_00009.json,train,tool_use,mujoco,242,48,True,6,1
10,data/raw/tool_use_v2/episode_00010.json,train,tool_use,mujoco,243,48,True,5,2
11,data/raw/tool_use_v2/episode_00011.json,train,tool_use,mujoco,244,48,True,7,4
12,data/raw/tool_use_v2/episode_00012.json,train,tool_use,mujoco,245,48,True,6,1
13,data/raw/tool_use_v2/episode_00013.json,train,tool_use,mujoco,246,48,True,6,2
14,data/raw/tool_use_v2/episode_00014.json,train,tool_use,mujoco,247,48,True,6,2
15,data/raw/tool_use_v2/episode_00015.json,train,tool_use,mujoco,248,48,True,6,2
16,data/raw/tool_use_v2/episode_00016.json,train,tool_use,mujoco,249,48,True,5,3
17,data/raw/tool_use_v2/episode_00017.json,train,tool_use,mujoco,250,48,True,7,2
18,data/raw/tool_use_v2/episode_00018.json,train,tool_use,mujoco,251,48,True,7,4
19,data/raw/tool_use_v2/episode_00019.json,train,tool_use,mujoco,252,48,True,6,2
20,data/raw/tool_use_v2/episode_00020.json,train,tool_use,mujoco,253,48,True,6,2
21,data/raw/tool_use_v2/episode_00021.json,train,tool_use,mujoco,254,48,True,5,2
22,data/raw/tool_use_v2/episode_00022.json,train,tool_use,mujoco,255,48,True,6,1
23,data/raw/tool_use_v2/episode_00023.json,train,tool_use,mujoco,256,48,True,5,0
24,data/raw/tool_use_v2/episode_00024.json,val,tool_use,mujoco,257,48,True,6,1
25,data/raw/tool_use_v2/episode_00025.json,val,tool_use,mujoco,258,48,True,5,1
26,data/raw/tool_use_v2/episode_00026.json,val,tool_use,mujoco,259,48,True,5,0
27,data/raw/tool_use_v2/episode_00027.json,val,tool_use,mujoco,260,48,True,7,3
28,data/raw/tool_use_v2/episode_00028.json,val,tool_use,mujoco,261,48,True,6,3
29,data/raw/tool_use_v2/episode_00029.json,val,tool_use,mujoco,262,48,True,5,0
